fecha,sku_id,nombre_producto,categoria,plataforma,unidades_vendidas,pvp_base,precio_venta,coste_unitario,margen_bruto,promocion_activa,descuento_pct,precio_tiendanimal,precio_kiwoko,precio_zooplus,precio_comp_min,precio_comp_avg,precio_comp_max,precio_mercado_ref,stock_disponible,dias_sin_stock,dia_semana,mes,semana_anio,es_festivo,es_blackfriday,es_navidad,ventas_lag_1,ventas_lag_7,ventas_lag_30,ventas_media_7d,ventas_media_30d,ratio_precio_mercado,diferencia_precio_min,dias_cobertura_stock,ingreso_estimado,margen_estimado_eur,var_precio_tiendanimal_1d,var_precio_kiwoko_1d,var_precio_zooplus_1d,var_precio_comp_min_7d,diferencia_precio_avg,alerta_bajada_competidor,alerta_precio_alto,oportunidad_subida_precio,alerta_stockout_riesgo,alerta_exceso_stock,ean
2023-02-10,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,4,62.99,62.36,23.31,0.63,0,0.0,57.06,65.83,69.13,57.06,64.0,69.13,64.09,125,0,4,2,6,0,0,0,0.0,3.0,0.0,0.86,1.03,0.9744,5.3,145.3,249.44,156.2,0.44,-0.24,0.11,0.89,-1.64,0,0,0,0,1,8410054001011
2023-02-11,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.62,23.31,0.63,0,0.0,57.08,66.03,68.79,57.08,63.96,68.79,64.33,125,0,5,2,6,0,0,0,4.0,0.0,1.0,1.0,1.17,0.9791,5.54,125.0,0.0,0.0,0.03,0.2,-0.34,0.97,-1.34,0,0,0,0,1,8410054001011
2023-02-12,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,62.93,23.31,0.63,0,0.0,56.99,66.46,69.84,56.99,64.43,69.84,64.69,124,0,6,2,6,0,0,0,0.0,1.0,1.0,1.0,1.13,0.9767,5.93,124.0,62.93,39.62,-0.09,0.43,1.06,0.66,-1.5,0,1,0,0,1,8410054001011
2023-02-13,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.31,23.31,0.63,0,0.0,56.93,66.54,59.85,56.93,61.11,66.54,61.58,123,0,0,2,7,0,0,0,1.0,0.0,0.0,1.0,1.13,1.0359,6.38,123.0,63.31,39.99,-0.06,0.09,-9.99,0.21,2.19,0,1,0,0,1,8410054001011
2023-02-14,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,49.43,23.31,0.63,1,0.2,57.03,66.24,60.38,57.03,61.21,66.24,58.71,121,0,1,2,7,0,0,0,1.0,2.0,4.0,1.14,1.17,0.8075,-7.6,106.1,98.86,52.24,0.1,-0.3,0.53,0.21,-11.78,0,0,1,0,1,8410054001011
2023-02-15,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.7,23.31,0.63,0,0.0,56.8,66.05,60.86,56.8,61.24,66.05,61.78,121,0,2,2,7,0,0,0,2.0,0.0,0.0,1.14,1.1,1.0239,5.9,106.1,0.0,0.0,-0.23,-0.19,0.48,0.18,1.46,0,1,0,0,0,8410054001011
2023-02-16,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,63.86,23.31,0.63,0,0.0,56.66,66.06,62.37,56.66,61.7,66.06,63.12,118,0,3,2,7,0,0,0,0.0,0.0,1.0,1.14,1.1,1.0349,7.19,103.5,191.58,121.65,-0.14,0.01,1.51,0.05,2.15,0,1,0,0,0,8410054001011
2023-02-17,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.62,23.31,0.63,0,0.0,56.93,66.54,62.66,56.93,62.04,66.54,63.14,117,0,4,2,7,0,0,0,3.0,4.0,0.0,1.57,1.17,1.0254,6.69,74.5,63.62,40.31,0.26,0.48,0.29,-0.13,1.58,0,1,0,0,0,8410054001011
2023-02-18,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,63.9,23.31,0.63,0,0.0,57.02,67.15,62.74,57.02,62.3,67.15,63.32,114,0,5,2,7,0,0,0,1.0,0.0,0.0,1.14,1.2,1.0257,6.88,100.0,191.69,121.76,0.09,0.6,0.08,-0.06,1.6,0,1,0,0,1,8410054001011
2023-02-19,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,4,62.99,62.71,23.31,0.63,0,0.0,58.84,66.86,62.88,58.84,62.86,66.86,62.8,110,0,6,2,7,0,0,0,3.0,1.0,1.0,1.57,1.3,0.9976,3.87,70.1,250.85,157.61,1.83,-0.29,0.14,1.85,-0.15,0,0,0,0,0,8410054001011
2023-02-20,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.56,23.31,0.63,0,0.0,58.76,66.98,62.76,58.76,62.84,66.98,62.66,110,0,0,2,8,0,0,0,4.0,1.0,2.0,2.0,1.4,0.9956,3.81,55.0,0.0,0.0,-0.09,0.13,-0.11,1.83,-0.28,0,0,0,0,0,8410054001011
2023-02-21,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,61.88,23.31,0.63,0,0.0,58.96,66.78,68.31,58.96,64.68,68.31,64.34,108,0,1,2,8,0,0,0,0.0,2.0,2.0,1.86,1.33,0.9568,2.92,58.1,123.76,77.14,0.2,-0.2,5.54,1.93,-2.8,0,0,0,0,0,8410054001011
2023-02-22,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,63.65,23.31,0.63,0,0.0,59.34,66.35,68.4,59.34,64.69,68.4,64.99,108,0,2,2,8,0,0,0,2.0,0.0,2.0,1.86,1.33,0.9838,4.31,58.1,0.0,0.0,0.38,-0.43,0.09,2.53,-1.05,0,0,0,0,0,8410054001011
2023-02-23,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,63.51,23.31,0.63,0,0.0,59.25,66.54,68.67,59.25,64.82,68.67,65.02,105,0,3,2,8,0,0,0,0.0,3.0,1.0,1.86,1.27,0.9798,4.26,56.5,190.52,120.59,-0.09,0.19,0.28,2.58,-1.31,0,0,0,0,0,8410054001011
2023-02-24,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,49.24,23.31,0.63,1,0.22,57.04,66.59,68.5,57.04,64.05,68.5,61.82,105,0,4,2,8,0,0,0,3.0,1.0,0.0,1.86,1.33,0.7688,-7.8,56.5,0.0,0.0,-2.21,0.05,-0.18,0.11,-14.81,0,0,1,0,0,8410054001011
2023-02-25,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,61.87,23.31,0.63,0,0.0,56.94,68.35,68.43,56.94,64.58,68.43,65.11,102,0,5,2,8,0,0,0,0.0,3.0,2.0,1.71,1.33,958.0,4.93,59.6,185.61,115.67,-0.1,1.75,-0.06,-0.08,-2.71,0,0,0,0,0,8410054001011
2023-02-26,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,62.3,23.31,0.63,0,0.0,56.71,68.64,68.36,56.71,64.57,68.64,65.32,99,0,6,2,8,0,0,0,3.0,4.0,2.0,1.71,1.37,0.9649,5.58,57.9,186.89,116.96,-0.23,0.29,-0.08,-2.13,-2.27,0,0,0,0,0,8410054001011
2023-02-27,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.2,23.31,0.63,0,0.0,57.24,68.43,62.94,57.24,62.88,68.43,63.08,98,0,0,2,9,0,0,0,3.0,0.0,3.0,1.57,1.4,1.0052,5.96,62.4,63.2,39.89,0.53,-0.2,-5.42,-1.51,0.33,0,1,0,0,0,8410054001011
2023-02-28,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,62.9,23.31,0.63,0,0.0,57.29,68.37,62.7,57.29,62.79,68.37,62.8,96,0,1,2,9,0,0,0,1.0,2.0,0.0,1.71,1.33,1.0018,5.61,56.1,125.8,79.18,0.05,-0.06,-0.24,-1.66,0.11,0,0,0,0,0,8410054001011
2023-03-01,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,63.8,23.31,0.63,0,0.0,56.74,68.47,62.17,56.74,62.46,68.47,62.98,148,0,2,3,9,0,0,0,2.0,0.0,0.0,1.71,1.4,1.0214,7.06,86.5,127.59,80.97,-0.55,0.1,-0.53,-2.6,1.34,0,1,0,0,0,8410054001011
2023-03-02,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,53.56,23.31,0.63,1,0.16,56.73,68.64,62.03,56.73,62.46,68.64,59.37,147,0,3,3,9,0,0,0,2.0,3.0,1.0,2.0,1.47,0.8576,-3.16,73.5,53.56,30.25,-0.01,0.16,-0.14,-2.52,-8.9,0,0,1,0,0,8410054001011
2023-03-03,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,4,62.99,49.1,23.31,0.63,1,0.23,61.31,68.89,61.72,61.31,63.97,68.89,61.52,143,0,4,3,9,0,0,0,1.0,0.0,0.0,1.71,1.47,0.7676,-12.21,83.6,196.42,103.17,4.59,0.25,-0.32,4.27,-14.87,0,0,1,0,0,8410054001011
2023-03-04,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,63.25,23.31,0.63,0,0.0,55.24,68.95,54.91,54.91,59.7,68.95,59.25,143,0,5,3,9,0,0,0,4.0,3.0,2.0,2.29,1.6,1.0595,8.34,62.4,0.0,0.0,-6.07,0.06,-6.8,-2.03,3.55,0,1,0,0,0,8410054001011
2023-03-05,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,4,62.99,63.04,23.31,0.63,0,0.0,55.23,68.51,54.7,54.7,59.47,68.51,59.13,139,0,6,3,9,0,0,0,0.0,3.0,3.0,1.86,1.53,1.06,8.34,74.7,252.16,158.92,-0.01,-0.44,-0.21,-2.02,3.57,0,1,0,0,0,8410054001011
2023-03-06,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,61.81,23.31,0.63,0,0.0,54.9,68.65,55.61,54.9,59.71,68.65,58.71,139,0,0,3,10,0,0,0,4.0,1.0,0.0,2.0,1.57,1.035,6.91,69.5,0.0,0.0,-0.33,0.14,0.91,-2.34,2.09,0,1,0,0,0,8410054001011
2023-03-07,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,53.73,23.31,0.63,1,0.15,55.22,68.42,55.85,55.22,59.83,68.42,55.53,137,0,1,3,10,0,0,0,0.0,2.0,1.0,1.86,1.57,0.8981,-1.49,73.7,107.46,60.84,0.32,-0.23,0.24,-2.08,-6.1,0,0,1,0,0,8410054001011
2023-03-08,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,62.73,23.31,0.63,0,0.0,55.42,68.85,55.74,55.42,60.0,68.85,59.24,136,0,2,3,10,0,0,0,2.0,2.0,0.0,1.86,1.6,1.0454,7.31,73.1,62.73,39.41,0.2,0.43,-0.1,-1.32,2.72,0,1,0,0,0,8410054001011
2023-03-09,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.98,23.31,0.63,0,0.0,55.81,68.86,55.22,55.22,59.97,68.86,59.4,136,0,3,3,10,0,0,0,1.0,1.0,2.0,1.71,1.63,1.0502,7.76,79.5,0.0,0.0,0.39,0.01,-0.53,-1.51,3.01,0,1,0,0,0,8410054001011
2023-03-10,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,54.61,23.31,0.63,1,0.12,55.42,68.95,55.18,55.18,59.85,68.95,55.29,134,0,4,3,10,0,0,0,0.0,4.0,0.0,1.57,1.57,0.9124,-0.57,85.4,109.22,62.6,-0.39,0.09,-0.04,-6.14,-5.24,1,0,1,0,1,8410054001011
2023-03-11,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,61.83,23.31,0.63,0,0.0,55.14,69.84,55.24,55.14,60.08,69.84,58.54,133,0,5,3,10,0,0,0,2.0,0.0,0.0,1.29,1.63,1.0292,6.69,103.1,61.83,38.52,-0.28,0.89,0.06,0.23,1.75,0,1,0,0,1,8410054001011
2023-03-12,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.89,23.31,0.63,0,0.0,52.86,70.11,54.95,52.86,59.31,70.11,58.92,133,0,6,3,10,0,0,0,1.0,4.0,4.0,1.43,1.67,1.0603,10.03,93.0,0.0,0.0,-2.28,0.26,-0.29,-1.84,3.58,0,1,0,0,1,8410054001011
2023-03-13,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.32,23.31,0.63,0,0.0,55.57,70.25,60.55,55.57,62.12,70.25,61.93,132,0,0,3,11,0,0,0,0.0,0.0,0.0,0.86,1.53,1.0193,7.75,153.5,63.32,40.01,2.71,0.14,5.59,0.67,1.2,0,1,0,0,1,8410054001011
2023-03-14,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,62.66,23.31,0.63,0,0.0,55.42,70.2,60.52,55.42,62.04,70.2,61.59,131,0,1,3,11,0,0,0,1.0,2.0,1.0,1.0,1.57,1.01,7.25,131.0,62.66,39.35,-0.15,-0.05,-0.03,0.2,0.62,0,1,0,0,1,8410054001011
2023-03-15,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.53,23.31,0.63,0,0.0,55.17,64.15,60.27,55.17,59.87,64.15,61.89,130,0,2,3,11,0,0,0,1.0,1.0,1.0,0.86,1.57,1.0613,8.37,151.2,63.53,40.22,-0.25,-6.05,-0.25,-0.25,3.67,0,1,0,0,1,8410054001011
2023-03-16,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.08,23.31,0.63,0,0.0,55.59,63.76,60.23,55.59,59.87,63.76,61.65,129,0,3,3,11,0,0,0,1.0,0.0,2.0,0.86,1.57,1.0537,7.48,150.0,63.08,39.77,0.43,-0.39,-0.04,0.38,3.21,0,1,0,0,1,8410054001011
2023-03-17,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,62.03,23.31,0.63,0,0.0,55.69,64.17,60.04,55.69,59.97,64.17,61.04,126,0,4,3,11,0,0,0,1.0,2.0,0.0,1.0,1.53,1.0345,6.34,126.0,186.1,116.16,0.1,0.42,-0.19,0.52,2.07,0,1,0,0,1,8410054001011
2023-03-18,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,63.2,23.31,0.63,0,0.0,55.59,64.04,60.6,55.59,60.08,64.04,61.89,124,0,5,3,11,0,0,0,3.0,1.0,3.0,1.14,1.63,1.052,7.61,108.8,126.41,79.79,-0.1,-0.14,0.55,0.45,3.12,0,1,0,0,1,8410054001011
2023-03-19,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,64.21,23.31,0.63,0,0.0,55.74,64.26,60.85,55.74,60.28,64.26,62.52,124,0,6,3,11,0,0,0,2.0,0.0,1.0,1.29,1.6,1.0652,8.47,96.1,0.0,0.0,0.15,0.23,0.25,2.89,3.93,0,1,0,0,1,8410054001011
2023-03-20,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,62.35,23.31,0.63,0,0.0,56.12,64.73,60.97,56.12,60.61,64.73,61.67,123,0,0,3,12,0,0,0,0.0,1.0,3.0,1.29,1.57,1.0287,6.22,95.3,62.35,39.04,0.38,0.47,0.13,0.55,1.74,0,1,0,0,1,8410054001011
2023-03-21,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,62.76,23.31,0.63,0,0.0,56.84,64.82,60.38,56.84,60.68,64.82,61.57,121,0,1,3,12,0,0,0,1.0,1.0,4.0,1.29,1.5,1.0343,5.92,93.8,125.53,78.9,0.72,0.09,-0.59,1.42,2.08,0,1,0,0,1,8410054001011
2023-03-22,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.42,23.31,0.63,0,0.0,59.05,69.76,60.29,59.05,63.03,69.76,61.86,120,0,2,3,12,0,0,0,2.0,1.0,0.0,1.43,1.43,1.0062,4.37,83.9,63.42,40.11,2.21,4.94,-0.09,3.88,0.39,0,0,0,0,1,8410054001011
2023-03-23,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.8,23.31,0.63,0,0.0,58.68,70.26,58.82,58.68,62.59,70.26,60.81,120,0,3,3,12,0,0,0,1.0,1.0,2.0,1.43,1.47,1.0034,4.12,83.9,0.0,0.0,-0.37,0.5,-1.47,3.09,0.21,0,0,0,0,1,8410054001011
2023-03-24,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.46,23.31,0.63,0,0.0,58.29,70.22,59.07,58.29,62.52,70.22,60.76,120,0,4,3,12,0,0,0,0.0,3.0,0.0,1.29,1.4,999.0,4.17,93.0,0.0,0.0,-0.39,-0.04,0.25,2.6,-0.06,0,0,0,0,1,8410054001011
2023-03-25,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,62.07,23.31,0.63,0,0.0,58.37,70.37,58.95,58.37,62.56,70.37,60.51,118,0,5,3,12,0,0,0,0.0,2.0,3.0,0.86,1.4,0.9921,3.7,137.2,124.14,77.52,0.08,0.15,-0.13,2.77,-0.49,0,0,0,0,1,8410054001011
2023-03-26,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,62.91,23.31,0.63,0,0.0,58.47,59.98,59.25,58.47,59.24,59.98,59.61,118,0,6,3,12,0,0,0,2.0,0.0,0.0,0.86,1.37,1.0621,4.45,137.2,0.0,0.0,0.1,-10.4,0.3,2.72,3.68,0,0,0,0,1,8410054001011
2023-03-27,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,49.91,23.31,0.63,1,0.21,53.79,59.74,59.1,53.79,57.55,59.74,56.45,116,0,0,3,13,0,0,0,0.0,1.0,3.0,0.86,1.37,0.8673,-3.88,134.9,99.82,53.2,-4.67,-0.24,-0.15,-2.33,-7.64,0,0,1,0,1,8410054001011
2023-03-28,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,63.78,23.31,0.63,0,0.0,53.84,59.11,58.52,53.84,57.16,59.11,58.82,114,0,1,3,13,0,0,0,2.0,2.0,3.0,1.0,1.33,1.116,9.94,114.0,127.57,80.95,0.05,-0.63,-0.58,-3.0,6.63,1,1,0,0,1,8410054001011
2023-03-29,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,62.9,23.31,0.63,0,0.0,53.51,58.61,55.63,53.51,55.92,58.61,57.12,113,0,2,3,13,0,0,0,2.0,1.0,1.0,1.0,1.3,1.1248,9.39,113.0,62.9,39.59,-0.33,-0.5,-2.89,-5.53,6.98,1,1,0,0,1,8410054001011
2023-03-30,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,62.7,23.31,0.63,0,0.0,53.72,59.03,56.16,53.72,56.3,59.03,57.6,111,0,3,3,13,0,0,0,1.0,0.0,2.0,1.0,1.3,1.1137,8.98,111.0,125.4,78.78,0.2,0.43,0.53,-4.96,6.4,1,1,0,0,1,8410054001011
2023-03-31,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,63.73,23.31,0.63,0,0.0,53.46,59.37,56.61,53.46,56.49,59.37,57.99,109,0,4,3,13,0,0,0,2.0,0.0,2.0,1.29,1.3,1.1283,10.27,84.5,127.47,80.84,-0.25,0.34,0.45,-4.83,7.25,1,1,0,0,1,8410054001011
2023-04-01,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,62.36,23.31,0.63,0,0.0,53.67,66.01,56.7,53.67,58.79,66.01,59.52,154,0,5,4,13,0,0,0,2.0,2.0,1.0,1.57,1.3,1.0607,8.69,98.1,187.08,117.15,0.2,6.64,0.09,-4.7,3.57,1,1,0,0,0,8410054001011
2023-04-02,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,5,62.99,63.73,23.31,0.63,0,0.0,54.01,65.83,56.27,54.01,58.71,65.83,60.0,149,0,6,4,13,0,0,0,3.0,0.0,4.0,1.71,1.37,1.0856,9.73,87.1,318.67,202.11,0.34,-0.19,-0.43,-4.46,5.03,1,1,0,0,0,8410054001011
2023-04-03,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,62.18,23.31,0.63,0,0.0,53.77,66.33,56.34,53.77,58.81,66.33,59.26,147,0,0,4,14,0,0,0,5.0,2.0,0.0,2.43,1.4,1.0574,8.42,60.5,124.37,77.75,-0.24,0.5,0.06,-0.03,3.38,0,1,0,0,0,8410054001011
2023-04-04,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,63.27,23.31,0.63,0,0.0,53.8,67.0,62.2,53.8,61.0,67.0,62.73,144,0,1,4,14,0,0,0,2.0,2.0,4.0,2.43,1.47,1.0372,9.46,59.3,189.8,119.87,0.04,0.67,5.86,-0.04,2.27,0,1,0,0,0,8410054001011
2023-04-05,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,63.25,23.31,0.63,0,0.0,54.04,67.34,61.86,54.04,61.07,67.34,62.55,142,0,2,4,14,0,0,0,3.0,1.0,0.0,2.57,1.43,1.0357,9.21,55.3,126.51,79.89,0.24,0.34,-0.34,0.53,2.18,0,1,0,0,0,8410054001011
2023-04-06,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,63.92,23.31,0.63,0,0.0,53.98,67.54,61.97,53.98,61.16,67.54,62.95,141,0,3,4,14,1,0,0,2.0,2.0,2.0,2.71,1.5,1.0451,9.94,52.0,63.92,40.61,-0.06,0.2,0.11,0.26,2.76,0,1,0,0,0,8410054001011
2023-04-07,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,63.76,23.31,0.63,0,0.0,54.72,67.26,61.91,54.72,61.3,67.26,62.83,138,0,4,4,14,1,0,0,1.0,2.0,1.0,2.57,1.47,1.0401,9.03,53.7,191.28,121.34,0.74,-0.28,-0.06,1.26,2.46,0,1,0,0,0,8410054001011
2023-04-08,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,4,62.99,62.08,23.31,0.63,0,0.0,54.75,63.9,61.79,54.75,60.14,63.9,61.94,134,0,5,4,14,0,0,0,3.0,3.0,0.0,2.71,1.53,1.0323,7.33,49.4,248.33,155.09,0.03,-3.36,-0.11,1.08,1.94,0,1,0,0,0,8410054001011
2023-04-09,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,49.75,23.31,0.63,1,0.2,55.68,63.9,61.49,55.68,60.36,63.9,58.59,131,0,6,4,14,0,0,0,4.0,5.0,2.0,2.86,1.67,0.8242,-5.93,45.8,149.24,79.31,0.93,0.0,-0.3,1.68,-10.61,0,0,1,0,0,8410054001011
